חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
171,4.80%,0.00%,69731,525,246,279,0,0,0,57063
172,4.80%,0.00%,69485,525,247,278,0,0,0,56720
173,4.80%,0.00%,69239,525,248,277,0,0,0,56376
174,4.80%,0.00%,68991,525,249,276,0,0,0,56030
175,4.80%,0.00%,68742,525,250,275,0,0,0,55684
176,4.80%,0.00%,68493,525,251,274,0,0,0,55336
177,4.80%,0.00%,68242,525,252,273,0,0,0,54986
178,4.80%,0.00%,67990,525,253,272,0,0,0,54635
179,4.80%,0.00%,67738,525,254,271,0,0,0,54283
180,4.80%,0.00%,67484,525,255,270,0,0,0,53930
181,4.80%,0.00%,67229,525,256,269,0,0,0,53575
182,4.80%,0.00%,66973,525,257,268,0,0,0,53219
183,4.80%,0.00%,66717,525,258,267,0,0,0,52861
184,4.80%,0.00%,66459,525,259,266,0,0,0,52503
185,4.80%,0.00%,66200,525,260,265,0,0,0,52142
186,4.80%,0.00%,65940,525,261,264,0,0,0,51781
187,4.80%,0.00%,65679,525,262,263,0,0,0,51418
188,4.80%,0.00%,65417,525,263,262,0,0,0,51053
189,4.80%,0.00%,65154,525,264,261,0,0,0,50687
190,4.80%,0.00%,64890,525,265,260,0,0,0,50320
191,4.80%,0.00%,64625,525,266,259,0,0,0,49951
192,4.80%,0.00%,64359,525,267,257,0,0,0,49581
193,4.80%,0.00%,64092,525,268,256,0,0,0,49210
194,4.80%,0.00%,63823,525,269,255,0,0,0,48837
195,4.80%,0.00%,63554,525,270,254,0,0,0,48463
196,4.80%,0.00%,63284,525,272,253,0,0,0,48087
197,4.80%,0.00%,63012,525,273,252,0,0,0,47710
198,4.80%,0.00%,62739,525,274,251,0,0,0,47331
199,4.80%,0.00%,62466,525,275,250,0,0,0,46951
200,4.80%,0.00%,62191,525,276,249,0,0,0,46570
201,4.80%,0.00%,61915,525,277,248,0,0,0,46187
202,4.80%,0.00%,61638,525,278,247,0,0,0,45802
203,4.80%,0.00%,61360,525,279,245,0,0,0,45416
204,4.80%,0.00%,61081,525,280,244,0,0,0,45029
205,4.80%,0.00%,60800,525,281,243,0,0,0,44640
206,4.80%,0.00%,60519,525,283,242,0,0,0,44249
207,4.80%,0.00%,60236,525,284,241,0,0,0,43857
208,4.80%,0.00%,59953,525,285,240,0,0,0,43464
